Temperature,Z,E
700.0,1.1913117345137247e-88,12.227384252543086
700.0650032501625,1.2139466205186156e-88,12.22738764114381
700.1300065003251,1.2370072517734217e-88,12.227391030255946
700.1950097504875,1.2605015546548153e-88,12.227394419879461
700.26001300065,1.2844376015843295e-88,12.227397810014434
700.3250162508125,1.3088236136906983e-88,12.227401200660731
700.3900195009751,1.3336679635206959e-88,12.227404591818486
700.4550227511376,1.358979177798437e-88,12.227407983487637
700.5200260013,1.3847659402349125e-88,12.227411375668156
700.5850292514626,1.4110370943879655e-88,12.227414768360111
700.6500325016251,1.4378016465735266e-88,12.22741816156347
700.7150357517876,1.4650687688298892e-88,12.227421555278223
700.7800390019501,1.4928478019347943e-88,12.227424949504389
700.8450422521126,1.5211482584774725e-88,12.227428344241964
700.9100455022751,1.5499798259852565e-88,12.227431739490935
700.9750487524376,1.579352370107216e-88,12.227435135251312
701.0400520026001,1.6092759378549474e-88,12.227438531523115
701.1050552527627,1.6397607609010735e-88,12.227441928306312
701.1700585029251,1.6708172589379695e-88,12.2274453256009
701.2350617530876,1.702456043096456e-88,12.227448723406932
701.3000650032502,1.734687919426047e-88,12.22745212172435
701.3650682534127,1.7675238924377155e-88,12.227455520553198
701.4300715035752,1.800975168710661e-88,12.227458919893449
701.4950747537376,1.835053160563601e-88,12.227462319745115
701.5600780039002,1.8697694897922787e-88,12.2274657201082
701.6250812540627,1.9051359914737008e-88,12.227469120982693
701.6900845042252,1.9411647178397208e-88,12.227472522368599
701.7550877543878,1.9778679422189472e-88,12.227475924265914
701.8200910045502,2.0152581630502087e-88,12.227479326674645
701.8850942547127,2.0533481079681785e-88,12.2274827295948
701.9500975048752,2.0921507379620742e-88,12.227486133026364
702.0151007550378,2.1316792516087706e-88,12.227489536969344
702.0801040052003,2.1719470893824058e-88,12.227492941423753
702.1451072553627,2.212967938041223e-88,12.227496346389577
702.2101105055252,2.2547557350926652e-88,12.227499751866812
702.2751137556878,2.2973246733391485e-88,12.22750315785546
702.3401170058503,2.3406892055048033e-88,12.227506564355556
702.4051202560128,2.3848640489459018e-88,12.227509971367041
702.4701235061754,2.4298641904448954e-88,12.227513378889974
702.5351267563378,2.4757048910907622e-88,12.227516786924332
702.6001300065003,2.522401691247264e-88,12.227520195470085
702.6651332566628,2.5699704156091617e-88,12.227523604527274
702.7301365068254,2.6184271783503254e-88,12.227527014095882
702.7951397569879,2.6677883883625374e-88,12.227530424175935
702.8601430071503,2.718070754589511e-88,12.227533834767408
702.9251462573129,2.769291291455689e-88,12.227537245870291
702.9901495074754,2.8214673243918955e-88,12.227540657484601
703.0551527576379,2.874616495460986e-88,12.22754406961035
703.1201560078003,2.928756769083004e-88,12.22754748224753
703.1851592579629,2.983906437863466e-88,12.227550895396138
703.2501625081254,3.0400841285252614e-88,12.22755430905617
703.3151657582879,3.097308807947545e-88,12.22755772322764
703.3801690084504,3.1555997893115385e-88,12.227561137910536
703.445172258613,3.214976738357562e-88,12.227564553104855
703.5101755087754,3.2754596797518186e-88,12.227567968810602
703.5751787589379,3.337069003569175e-88,12.227571385027813
703.6401820091005,3.399825471890785e-88,12.227574801756434
703.705185259263,3.4637502255184804e-88,12.227578218996504
703.7701885094255,3.5288647908115925e-88,12.227581636747995
703.8351917595879,3.5951910866429996e-88,12.227585055010936
703.9001950097505,3.662751431482257e-88,12.227588473785312
703.965198259913,3.731568550601873e-88,12.22759189307111
704.0302015100755,3.8016655834151944e-88,12.227595312868345
704.0952047602381,3.873066090943976e-88,12.227598733177038
704.1602080104005,3.9457940634181144e-88,12.22760215399716
704.225211260563,4.019873928012967e-88,12.22760557532872
704.2902145107255,4.095330556723172e-88,12.227608997171735
704.3552177608881,4.172189274377466e-88,12.227612419526183
704.4202210110506,4.2504758667956536e-88,12.227615842392074
704.485224261213,4.330216589092108e-88,12.227619265769398
704.5502275113756,4.4114381741266396e-88,12.227622689658181
704.6152307615381,4.4941678411049583e-88,12.227626114058408
704.6802340117006,4.57843330433408e-88,12.22762953897006
704.745237261863,4.6642627821326634e-88,12.2276329643932
704.8102405120256,4.7516850058997355e-88,12.22763639032774
704.8752437621881,4.840729229345242e-88,12.227639816773761
704.9402470123506,4.931425237885211e-88,12.227643243731219
705.0052502625131,5.023803358203547e-88,12.22764667120013
705.0702535126757,5.117894467984257e-88,12.22765009918048
705.1352567628381,5.213730005815665e-88,12.227653527672274
705.2002600130006,5.311341981273523e-88,12.227656956675554
705.2652632631632,5.410762985180163e-88,12.227660386190257
705.3302665133257,5.512026200047607e-88,12.227663816216438
705.3952697634882,5.615165410707012e-88,12.227667246754052
705.4602730136506,5.720215015125664e-88,12.227670677803136
705.5252762638132,5.827210035416323e-88,12.227674109363658
705.5902795139757,5.936186129042431e-88,12.227677541435645
705.6552827641382,6.047179600223507e-88,12.227680974019087
705.7202860143008,6.160227411540203e-88,12.227684407114005
705.7852892644632,6.27536719574816e-88,12.227687840720353
705.8502925146257,6.392637267800535e-88,12.227691274838191
705.9152957647882,6.512076637083269e-88,12.227694709467466
705.9802990149508,6.633725019868091e-88,12.227698144608208
706.0453022651133,6.757622851986516e-88,12.22770158026039
706.1103055152757,6.883811301729111e-88,12.227705016424064
706.1753087654382,7.012332282971087e-88,12.2277084530992
706.2403120156008,7.143228468535095e-88,12.227711890285805
706.3053152657633,7.276543303784665e-88,12.227715327983852
706.3703185159258,7.412321020465576e-88,12.22771876619338
706.4353217660884,7.550606650786682e-88,12.227722204914386
706.5003250162508,7.691446041752946e-88,12.227725644146831
