Energy(ev)
12.216
12.386
12.553
12.634
12.717
12.721
12.804
12.878
12.891
12.971
13.034
13.055
13.058
13.135
13.14
13.186
13.222
13.225
13.237
13.296
13.31
13.331
13.36
13.383
13.392
13.408
13.452
13.468
13.477
13.482
13.54
13.541
13.556
13.561
13.575
13.594
13.603
13.641
13.651
13.656
13.691
13.714
13.716
13.722
13.731
13.739
13.748
13.764
13.801
13.811
13.818
13.826
13.836
13.844
13.861
13.872
13.884
13.898
13.899
13.904
13.915
13.934
13.957
13.973
13.982
13.987
13.989
13.992
13.993
14.009
14.023
14.042
14.056
14.061
14.077
14.084
14.086
14.099
14.101
14.108
14.13
14.142
14.145
14.157
14.157
14.167
14.173
14.183
14.207
14.22
14.221
14.223
14.247
14.251
14.253
14.26
14.261
14.265
14.269
14.297
