temperature,internal energy,partition function,free energy,chemical entropy,q variance 1,q variance 2,q avg 1,q avg 2,q square avg 1,q square avg 2,state 1 pop,state 2 pop
10000.0,-0.5926512369100466,243.6691880835025,-4.735923939199141,0.0004143272702289095,8.589023925046874,2.901397281884664,-4.380729344285607,0.0,27.779813512931877,2.901397281884664,0.917430579238081,0.082569420761919
9678.355969932576,-0.6635507492219325,249.64840173576903,-4.603814006838977,0.00040712113398785177,8.17381598194099,2.810392785529632,-4.424694491632381,0.0,27.751737326222923,2.810392785529632,0.9232932572037579,0.07670674279624218
9225.214899508703,-0.7615566895808105,260.36270359569795,-4.421669458216115,0.0003967509492738459,7.584340671916049,2.683445432059454,-4.486263771126103,0.0,27.710903296034648,2.683445432059454,0.9315098203921572,0.06849017960784289
8649.864645756987,-0.8834445257071267,278.94714294201765,-4.197294561840826,0.00038311004528368434,6.8329371885861185,2.523685981988007,-4.563077771970656,0.0,27.654615941638806,2.523685981988007,0.9417788216807312,0.058221178319268714
7981.753390667027,-1.0220214982308258,310.51984923248926,-3.946848852366087,0.0003664392033904766,5.966522700130234,2.3392675629536184,-4.64897209877022,0.0,27.57946427527422,2.3392675629536184,0.9532904108403394,0.04670958915966057
7229.734585475416,-1.174504236646222,366.78072018116137,-3.6787290372801467,0.000346378524830625,5.0184634756624895,2.1322047337311636,-4.73905488282418,0.0,27.477104658082194,2.1322047337311636,0.9653962617479888,0.03460373825201125
6394.311004135144,-1.3393247469047196,477.77866866096946,-3.399318083815288,0.000322160329014086,4.031230557227929,1.9021506377940536,-4.827258396433452,0.0,27.33365418316519,1.9021506377940536,0.9772805224301843,0.022719477569815703
5532.962877780734,-1.5034311437693173,714.7909726042012,-3.133484489833007,0.0002946076780326245,3.127532711303221,1.6648031598293644,-4.900612330962393,0.0,27.143533929683883,1.6648031598293644,0.9871883751082269,0.012811624891773078
4866.522229159623,-1.625697378142193,1121.2725742767414,-2.9448691581739186,0.0002710707396192306,2.5322449150998096,1.4814229273844308,-4.9426275871283325,0.0,26.96181238014185,1.4814229273844308,0.9928768237174664,0.007123176282533632
4353.835283379531,-1.7166754426044974,1793.6715576314161,-2.810889727770112,0.0002513219297346188,2.1429871909702243,1.3409481317392453,-4.965635001525325,0.0,26.800518159343643,1.3409481317392453,0.9959985299311671,0.004001470068832944
3929.4900696054733,-1.7898683993208968,2972.2519119122817,-2.707947637792769,0.0002336382640519178,1.8653164580523658,1.2254548956500284,-4.978803454087764,0.0,26.653800292488615,1.2254548956500284,0.9977884821663875,0.002211517833612482
3570.912840121587,-1.8502183331769773,5100.668409977132,-2.627022995195166,0.00021753671870404409,1.659243165259209,1.1287355825165428,-4.986245554106971,0.0,26.521887891110744,1.1287355825165428,0.9988009974678669,0.0011990025321331576
3267.03370356503,-1.9002859374702634,8993.094744677197,-2.5631196527317694,0.0002028854843273313,1.5021608535843036,1.047677522083914,-4.99034613490804,0.0,26.405715399775918,1.047677522083914,0.9993581204841979,0.0006418795158020152
