T(K),partition function,internal energy,free energy,chemical entropy,q variance 1,q variance 2,q avg 1,q avg 2,q square avg 1,q square avg 2
2000.0,843897.9650468072,-2.0962250644811027,-2.351805861380441,0.0001277903984496691,0.9564594458629223,0.7343874980413957,-4.995477412245006,2.5303713776654658e-18,25.91125402211299,0.7343874980413957
1980.1010101010102,953697.0428224842,-2.099102255859044,-2.349277330425043,0.00012634460226513245,0.9488288401179616,0.7297154462959388,-4.995543657682193,2.440250657256507e-18,25.904285275926743,0.7297154462959388
1960.20202020202,1080646.508756507,-2.101969812454024,-2.3467776658757935,0.0001248890935213603,0.9412150663763086,0.7250657445191859,-4.995607848431204,2.35002327394731e-18,25.897312841683753,0.7250657445191859
1940.3030303030303,1227850.7085478297,-2.104827477793228,-2.344307061670388,0.00012342380552781955,0.933618435559108,0.7204389411510392,-4.99567005835826,2.259857813328034e-18,25.89033776753633,0.7204389411510392
1920.4040404040404,1399051.272919434,-2.107674986478208,-2.341865713048529,0.00012194867415559537,0.9260392919980553,0.7158356015305681,-4.995730359006074,2.1699208469129625e-18,25.88336111189301,0.7158356015305681
1900.5050505050506,1598773.3044653658,-2.1105120638861745,-2.3394538164983683,0.00012046363810048992,0.9184780137702688,0.7112563084629748,-4.9957888196118585,2.0803764246077668e-18,25.876383943929117,0.7112563084629748
1880.6060606060605,1832508.6260914567,-2.1133384258593857,-2.3370715696975126,0.00011896863916626149,0.9109350130475455,0.7067016628037169,-4.995845507128069,1.991385566540304e-18,25.869407344139262,0.7067016628037169
1860.7070707070707,2106946.3877156354,-2.11615377838198,-2.3347191714481834,0.00011746362256964412,0.9034107364632646,0.7021722840598492,-4.995900486245855,1.903105756688585e-18,25.862432404934836,0.7021722840598492
1840.8080808080808,2430264.4416714325,-2.118957817243712,-2.332396821606074,0.00011594853726884249,0.8959056655006457,0.6976688110085357,-4.9959538194209525,1.8156904408616285e-18,25.85546023128745,0.6976688110085357
1820.909090909091,2812499.030324287,-2.1217502276901286,-2.330104721002419,0.00011442333631728385,0.8884203169089382,0.6931919023326398,-4.996005566901749,1.7292885316993171e-18,25.848491941422203,0.6931919023326398
1801.010101010101,3266015.841288852,-2.124530684058573,-2.3278430713587634,0.00011288797724463747,0.8809552431477847,0.6887422372731433,-4.996055786759674,1.6440439234554416e-18,25.841528667562613,0.6887422372731433
1781.111111111111,3806112.871961429,-2.1272988493994176,-2.3256120751938543,0.00011134242246724454,0.8735110328695086,0.6843205162980545,-4.996104534921335,1.5600950194109809e-18,25.834571556731035,0.6843205162980545
1761.2121212121212,4451795.49272714,-2.1300543750821226,-2.323411935722058,0.00010978663973017676,0.8660883114400839,0.6799274617872696,-4.9961518652025045,1.4775742748299815e-18,25.827621771606548,0.6799274617872696
1741.3131313131312,5226777.564215586,-2.132796900385475,-2.321242856742645,0.00010822060258344361,0.8586877415083016,0.6755638187327482,-4.996197829343544,1.3966077584171569e-18,25.82068049144544,0.6755638187327482
1721.4141414141413,6160780.789293716,-2.1355260520715045,-2.319105042519236,0.00010664429089499726,0.851310023623796,0.6712303554531167,-4.996242477046293,1.3173147352603657e-18,25.81374891306547,0.6712303554531167
