temperature,internal energy,partition function,free energy,chemical entropy,q variance 1,q variance 2,q avg 1,q avg 2,q square avg 1,q square avg 2,state 1 pop,state 2 pop
10000.0,-1.8998392389001413,243.6691880835025,-4.735923939199141,0.00028360847002989996,5.37328998512492,0.7306757841742095,-4.380729344285607,0.0,24.564079573009924,0.7306757841742095,0.917430579238081,0.082569420761919
9678.355969932576,-1.9161336201826167,262.27625533720413,-4.6449683880486194,0.00028195230433180826,5.076416163674608,0.7268919850554234,-4.4263284825623925,0.0,24.6687999992177,0.7268919850554234,0.9235105017760622,0.07648949822393787
8877.947081489861,-1.9558181326127555,323.354819076475,-4.420988291037924,0.00027767344587634933,4.32942611591163,0.7170241965945857,-4.538064412934808,0.0,24.92345473185697,0.7170241965945857,0.9384099724369113,0.061590027563088665
8053.963450342246,-1.995160935601004,421.16898657722476,-4.194088511276037,0.00027302428043444766,3.566522756845803,0.7059992460869552,-4.647957541023597,0.0,25.17003206000393,0.7059992460869552,0.9530672337521311,0.04693276624786882
7160.599764129914,-2.035458034750436,605.1609559635097,-3.952527943633231,0.0002677247677612293,2.780930773857996,0.6927493812275717,-4.756778190290506,0.0,25.407869525481416,0.6927493812275717,0.9675868865543037,0.0324131134456963
6232.757509129481,-2.0736888174995243,993.7305603050074,-3.706760093036304,0.00026201424861222757,2.0588501062246785,0.6771768942155686,-4.852668131474095,0.0,25.607238100448964,0.6771768942155686,0.9803885240641443,0.019611475935855684
5275.241177821737,-2.1081273533561515,2015.400863720316,-3.4587441929298204,0.00025602940112993435,1.468008087490027,0.6587128759413376,-4.927241033949336,0.0,25.74571229412415,0.6587128759413376,0.9903545009839366,0.009645499016063435
4340.664602564914,-2.13629400487463,5510.356506573569,-3.2222065503201707,0.00025017195403760774,1.0771400846356372,0.6379785661806466,-4.972710320302661,0.0,25.80498801428023,0.6379785661806466,0.9964454162766031,0.0035545837233969886
3504.3666346073596,-2.1574185139215136,21690.796408696184,-3.0151920602916773,0.00024477277517118905,0.8760969120922262,0.6173023734913685,-4.99218797753406,0.0,25.798037715127837,0.6173023734913685,0.9990723752392645,0.0009276247607355304
2907.217012828816,-2.170659425946505,94536.16908895869,-2.870194404800114,0.0002406201448900228,0.7950102059069373,0.6020351992620212,-4.997300613549877,0.0,25.768023628092912,0.6020351992620212,0.9997773884271267,0.00022261157287333945
2560.1355183585692,-2.1776725510513057,306630.3124374439,-2.787122297047561,0.0002380537052144036,0.7623192010716053,0.5935134048483753,-4.998327748833816,0.0,25.74559948583373,0.5935134048483753,0.9999282370174517,7.17629825482216e-05
2287.1552389331805,-2.18272039900129,997459.9108273946,-2.7224224257491034,0.00023597087664217832,0.7412561402288809,0.5873364176558461,-4.998610773713921,0.0,25.727365807317764,0.5873364176558461,0.9999767985339733,2.3201466026750596e-05
2069.100636341987,-2.1863524056333583,3207840.3924768153,-2.6711510797050555,0.0002343040573071325,0.7266661914262187,0.5829320253452291,-4.9986645810921555,0.0,25.713313785691433,0.5829320253452291,0.9999923843677371,7.615632262938943e-06
1892.6064161751844,-2.188958986251097,10072647.383980097,-2.6299162538968845,0.00023298941812578702,0.7161914032686703,0.5798244977862703,-4.998653320998316,0.0,25.702726426796165,0.5798244977862703,0.9999974348619234,2.565138076572352e-06
1745.6710840383907,-2.1908568100088455,31188938.152263645,-2.595761092638899,0.00023194763683279817,0.7084161003955991,0.5776097902183078,-4.99862685172165,0.0,25.694686503148297,0.5776097902183078,0.9999991225192869,8.774807130960062e-07
1618.8377794397302,-2.19227007334013,97662870.25573614,-2.5663978566152665,0.00023110887825006143,0.7024513125426388,0.5760004673939482,-4.998599024913617,0.0,25.688443524410005,0.5760004673939482,0.999999702525959,2.974740410311022e-07
1506.843040750796,-2.193330847530411,314139594.10185945,-2.540554306179335,0.00023043107295098037,0.6978048236942591,0.5748254319682176,-4.998573511009693,0.0,25.683541968662027,0.5748254319682176,0.9999999015643872,9.843561285021769e-08
1408.2884682603349,-2.1941134024979094,1024691949.5965649,-2.517871660393955,0.00022989484412663385,0.6942254632649316,0.5739849662283759,-4.99855141772369,0.0,25.679741738892446,0.5739849662283759,0.9999999678252196,3.2174780390324566e-08
1323.0271657273847,-2.19467583069443,3286080216.5597596,-2.4982892635478775,0.00022948389928677281,0.691526932261123,0.5734011698849389,-4.9985329398013,0.0,25.67685848253975,0.5734011698849389,0.9999999893054614,1.0694538664894636e-08
1249.5057141143332,-2.1950773151098844,10201039774.717377,-2.481430324204225,0.00022917302887030924,0.6895000179042263,0.572999530156726,-4.9985175859638264,0.0,25.674678075093865,0.572999530156726,0.9999999963325747,3.6674251306939798e-09
1184.5157247476989,-2.195370253915903,31221390497.353542,-2.4665457966752937,0.0002289336790502726,0.6879382312038373,0.572717717507047,-4.998504518301761,0.0,25.672985650686957,0.572717717507047,0.99999999872495,1.2750500364228672e-09
1124.888368349368,-2.195590471264601,97635504462.64758,-2.4529019930213924,0.00022874405051797616,0.6866911397729574,0.57251451121636,-4.998492994043697,0.0,25.671623351276878,0.57251451121636,0.999999999565513,4.3448696138245545e-10
1069.218309720904,-2.195756970269462,317536467595.92126,-2.4401725366241456,0.00022859276177049657,0.6856819678156434,0.57236774986681,-4.998482662143848,0.0,25.670510891568295,0.57236774986681,0.9999999998572969,1.4270307924085993e-10
1018.1602770735374,-2.1958793695506578,1049110146733.1832,-2.4285042071103624,0.0002284756563360831,0.6848822588333583,0.5722652664515725,-4.9984735496655235,0.0,25.66962008553922,0.5722652664515725,0.9999999999538154,4.618463994962218e-11
