temperature,internal energy,partition function,free energy,chemical entropy
2999.9999999999995,2.269278384538293,52330331.605686426,-4.594698338498836,0.0022879922410123767
2999.2073257628413,2.2685733472793808,52209086.47719153,-4.592884799149031,0.0022877571975399255
2998.445820679805,2.2678961235527915,52092848.67112614,-4.59114274639777,0.0022875313679656503
2997.4885279288824,2.2670449070544105,51947058.093101494,-4.588953045100853,0.0022872474367374553
2996.373366330468,2.2660534913434693,51777691.166438274,-4.586402579041267,0.002286916626407159
2995.12685525475,2.2649455262035247,51588967.633659646,-4.5835521426377905,0.0022865467807569096
2993.7705362900765,2.26374022723475,51384327.21084088,-4.58045112883217,0.0022861442696100356
2992.3172370821053,2.2624490576020113,51165870.92462379,-4.5771289906329775,0.0022857128794620918
2990.7798654667704,2.261083544961866,50935693.22163576,-4.573615351388512,0.002285256422670108
2989.1631773581007,2.2596479707189197,50694652.41936436,-4.569921192597699,0.002284776292926493
2987.473051206083,2.2581476108759415,50443767.56878776,-4.566060056699063,0.002284274217911348
2985.7136456599314,2.256586211898857,50183794.10315552,-4.562041551860058,0.00228375141523386
2983.8876989204095,2.254966258010056,49915272.29914373,-4.557872038886869,0.0022832086808635115
2981.9981307113517,2.253290393364818,49638765.25276659,-4.553558291116155,0.0022826468649922355
2980.0472438523075,2.2515607137329434,49354741.53989555,-4.549105671294997,0.0022820666347009716
2978.037924984815,2.2497798311972557,49063750.32955043,-4.544520872305008,0.0022814688310381095
2975.9720770740896,2.2479494844660626,48766193.366867036,-4.539808339721799,0.002280854002790724
2973.8533060467153,2.2460729192883098,48462712.079910666,-4.534976400560964,0.002280223206054385
2971.6832671971047,2.2441516513460877,48153661.31426054,-4.530028928812391,0.002279576916872401
2969.464688252405,2.242188144243048,47839543.64294829,-4.524972240641406,0.0022789159310956735
2967.1991848021826,2.24018387524775,47520697.95910719,-4.519810113542314,0.0022782407138065928
2964.88904658401,2.2381409164218407,47197552.95490372,-4.514547858139395,0.0022775519314428747
2962.536697436088,2.2360614560093475,46870549.074009955,-4.509191085991661,0.0022768502911166134
2960.145388691823,2.2339484106308403,46540233.08082546,-4.503747287075614,0.0022761367476899653
