temperature,internal energy,partition function,free energy,chemical entropy,q variance 1,q variance 2,q variance 3,q variance 4,q variance 5,q variance 6,q avg 1,q avg 2,q avg 3,q avg 4,q avg 5,q avg 6,q square avg 1,q square avg 2,q square avg 3,q square avg 4,q square avg 5,q square avg 6,state 1 pop,state 2 pop,state 3 pop,state 4 pop,state 5 pop,state 6 pop
10000.0,0.13189106705292614,567190116.9998395,-17.369273667979837,0.0017501164735032764,11.02759460458851,7.755366113468132,7.666070319913005,2.1695604591383835,1.847829325273173,2.1700718198792397,0.0014341574684823982,3.4652633203230185e-05,-1.1129510095775364e-05,0.07527381997251972,-0.0006255439226488885,0.0012876405195140362,11.027596661396155,7.755366114668937,7.666070320036871,2.1752266071116386,1.8478297165783721,2.1700734778973474,0.3797042652762216,0.23970421585629356,0.23980200062608165,0.030544787116563756,0.03054835712382534,0.07969637400101401
9678.355969932576,0.11042593706310448,564547590.3998219,-16.80670660641744,0.0017479345248342213,10.900326085100195,7.704874508668496,7.61581578497961,2.1519223201136777,1.836320644256188,2.1587596140174306,0.0014387732032030182,3.569976556869712e-05,-1.1251215820310243e-05,0.06856170628172853,-0.0006278052376300353,0.0012914904609346509,10.900328155168525,7.704874509942969,7.6158157851062,2.1566230276819396,1.8363210383956043,2.1587612819650412,0.3859608351210286,0.23995659703177266,0.24005773849725623,0.028556292110293716,0.028558729327040917,0.07690980791260787
9168.814597845094,0.07525919335425989,561073244.2138644,-15.916997788436339,0.0017442011517551231,10.691588780494534,7.6202904851640785,7.531547830469326,2.1224524298870473,1.8169570815857403,2.139336465221417,0.001413113236454523,3.756799745114395e-05,-1.145949669009262e-05,0.05761706308257997,-0.000631648683371191,0.0012927037364170054,10.691590777383553,7.620290486575433,7.531547830600646,2.125772155845309,1.8169574805657995,2.1393381363043673,0.39658913640932736,0.24013337122891773,0.24024021275224097,0.025405590047562425,0.025402004538389547,0.0722296850235621
8494.778404490862,0.026543126477376364,558235571.8475722,-14.74316402757194,0.001738680687213823,10.401608788149582,7.4989737703056125,7.410437373694398,2.0804194615094564,1.7890323793981797,2.1104375813314022,0.0013172864776406475,4.048735785155592e-05,-1.1767319891452875e-05,0.0425552076570238,-0.000637255396661928,0.001285197361328484,10.401610523393247,7.498973771944839,7.410437373832868,2.082230407208189,1.7890327854926202,2.11043923306366,0.41217223728021557,0.23982727140435237,0.23994244865299333,0.021277039064531288,0.021257447830023344,0.06552355576788403
7874.273728451125,-0.02048633271862971,558079021.0186878,-13.666053065891273,0.0017329301982313403,10.120177538588246,7.376851611432719,7.288090786634707,2.0384653369855807,1.7607831306195985,2.0800889908223774,0.0011705328986822705,4.368297845994476e-05,-1.2087463139000349e-05,0.028104274396695765,-0.0006429663444879668,0.0012698505733851103,10.120178908735513,7.376851613340921,7.288090786780814,2.0392551872249456,1.7607835440253186,2.0800906033428563,0.42830394041843867,0.23881765215682463,0.2389414111841053,0.017575385953899233,0.017533253492708456,0.058828356794023755
6995.6215886986665,-0.0904766937665069,563950725.0573285,-12.147433739283601,0.0017235004627744516,9.696799506268436,7.185051977653671,7.094591063884847,1.9734346864927104,1.716222233717506,2.0297833158699086,0.0008863035036741782,4.909516859533926e-05,-1.2610811748285565e-05,0.006662885059070352,-0.0006519342574507792,0.0012379506329686261,9.696800291802337,7.185051980064007,7.09459106404388,1.9734790805300209,1.716222658735782,2.029784848391678,0.45472177010313763,0.23569872391958116,0.2358363823400256,0.012641508133101715,0.012556523753766185,0.04854509175038768
6046.979412763627,-0.16994561930818983,583635713.92581,-10.51805801582678,0.001711286195993387,9.20484200504939,6.951483612294281,6.85553400176651,1.8957631374037092,1.661761535508396,1.9638057185995728,0.000536075454527104,5.594006969508185e-05,-1.3285797644116534e-05,-0.01794457412372844,-0.0006625225678545546,0.001200768545444101,9.204842292426282,6.951483615423572,6.855534001943022,1.8960851451441911,1.6617619744445489,1.9638071604446725,0.48930713152201305,0.22904604379225363,0.2292014436294506,0.007977059947409947,0.007837199236480859,0.03663112187239168
5200.15207767262,-0.2433750293354061,622904604.7970695,-9.074274255179587,0.0016982001860600467,8.731839610217728,6.720657496434793,6.613841004280359,1.8205466534857717,1.6078248620277453,1.8926680057067586,0.00027358606138678355,6.226606303413606e-05,-1.400818386592045e-05,-0.041734456810787204,-0.0006721182154804427,0.0011814148918850307,8.731839685067062,6.720657500311855,6.613841004476588,1.8222884183710633,1.6078253137706409,1.8926694014479053,0.5275095535175293,0.2187044709337843,0.21887837006909272,0.004655602844974721,0.0044682466778222405,0.025783755956796658
4512.596983614784,-0.3037934158502182,683956779.0127449,-7.910848890163573,0.0016857378360918406,8.320670054256139,6.521787187701459,6.399820205321871,1.7567355521589905,1.56131878522604,1.8253712336755825,0.00017046533294210267,6.65950134841029e-05,-1.4701815257633594e-05,-0.06322303516083722,-0.0006791837189275719,0.001188787154385056,8.32067008331457,6.521787192136355,6.399820205538014,1.760732704333939,1.561319246516564,1.825372646890481,0.5657609298146676,0.20575443699774928,0.20594477153010352,0.002680191837767009,0.0024630143608876027,0.017396655458824874
3923.9843133906525,-0.35531905925359747,777047426.9273729,-6.922125407533088,0.001673504740034299,7.945879586291991,6.349223903090366,6.208998575671595,1.7018646054656204,1.5210102238977943,1.760793613677437,0.0002051913131450078,6.884435623181306e-05,-1.5397190533782042e-05,-0.08432471680898092,-0.0006839783416608732,0.0012188242874100314,7.945879628395466,6.349223907829912,6.2089985759086685,1.7089752633305353,1.5210106917241661,1.7607950992100805,0.6058404771650314,0.19005388327644637,0.1902579070414268,0.0015303164931070293,0.0012988600635659773,0.011018555960422376
