T(K),partition function,internal energy,free energy,chemical entropy
11.10740122426266,inf,,-inf,
11.082854890115382,inf,,-inf,
11.058416807020656,inf,,-inf,
11.034086260461928,inf,,-inf,
11.00986254219712,inf,,-inf,
10.985744950189886,inf,,-inf,
10.961732788541806,inf,,-inf,
10.937825367425447,inf,,-inf,
10.914022003018308,inf,,-inf,
10.89032201743761,inf,,-inf,
10.866724738675957,inf,,-inf,
10.843229500537818,inf,,-inf,
10.819835642576814,inf,,-inf,
10.796542510033861,inf,,-inf,
10.77334945377607,inf,,-inf,
10.75025583023644,inf,,-inf,
10.727261001354345,inf,,-inf,
10.704364334516749,inf,,-inf,
10.681565202500217,inf,,-inf,
10.658862983413615,inf,,-inf,
10.636257060641586,inf,,-inf,
10.613746822788716,inf,,-inf,
10.5913316636244,inf,,-inf,
10.569010982028447,inf,,-inf,
10.54678418193731,inf,,-inf,
10.524650672291063,inf,,-inf,
10.502609866980976,inf,,-inf,
10.480661184797793,inf,,-inf,
10.458804049380646,inf,,-inf,
10.437037889166607,inf,,-inf,
10.415362137340846,inf,,-inf,
10.39377623178746,inf,,-inf,
10.372279615040847,inf,,-inf,
10.35087173423774,inf,,-inf,
10.329552041069803,inf,,-inf,
10.308319991736818,inf,,-inf,
10.28717504690045,inf,,-inf,
10.266116671638567,inf,,-inf,
10.245144335400157,inf,,-inf,
10.224257511960744,inf,,-inf,
10.203455679378388,inf,,-inf,
10.182738319950209,inf,,-inf,
10.162104920169439,inf,,-inf,
10.14155497068298,inf,,-inf,
10.121087966249519,inf,,-inf,
10.100703405698091,inf,,-inf,
10.080400791887199,inf,,-inf,
10.060179631664367,inf,,-inf,
10.040039435826243,inf,,-inf,
10.019979719079126,inf,,-inf,
10.0,inf,,-inf,
