x,y,density,2,3,4,5,6,7,8,9,10
-6.275079,-2.412318,2.925e-05,-7.768e-05,-0.00015807,0.00012517,0.00041973,-0.00012847,0.00058324,-0.00067634,6.217e-05,-0.00154875
-6.275079,-2.000259,5.035e-05,-0.00011086,-0.00027205,0.000137,0.000599,-8.364e-05,0.00100383,-0.00074024,-2.656e-05,-0.00221025
-6.275079,-1.593886,7.789e-05,-0.00013666,-0.00042087,0.00011446,0.00073841,-4.37e-06,0.00155294,-0.00061849,-9.53e-05,-0.00272464
-6.275079,-1.191827,0.00010885,-0.00014281,-0.00058817,5.551e-05,0.00077163,7.456e-05,0.00217026,-0.00029992,-9.698e-05,-0.00284722
-6.275079,-0.792877,0.00013792,-0.00012037,-0.00074521,-2.324e-05,0.0006504,0.00010999,0.00274974,0.00012555,-2.788e-05,-0.00239991
-6.275079,-0.395943,0.00015881,-6.922e-05,-0.00085811,-9.096e-05,0.000374,7.94e-05,0.00316632,0.00049151,6.147e-05,-0.00138001
-6.275079,0.0,0.00016643,0.0,-0.00089928,-0.00011768,0.0,0.0,0.00331825,0.00063589,0.00010192,-0.0
-6.275079,0.395943,0.00015881,6.922e-05,-0.00085811,-9.096e-05,-0.000374,-7.94e-05,0.00316632,0.00049151,6.147e-05,0.00138001
-6.275079,0.792877,0.00013792,0.00012037,-0.00074521,-2.324e-05,-0.0006504,-0.00010999,0.00274974,0.00012555,-2.788e-05,0.00239991
-6.275079,1.191827,0.00010885,0.00014281,-0.00058817,5.551e-05,-0.00077163,-7.456e-05,0.00217026,-0.00029992,-9.698e-05,0.00284722
-6.275079,1.593886,7.789e-05,0.00013666,-0.00042087,0.00011446,-0.00073841,4.37e-06,0.00155294,-0.00061849,-9.53e-05,0.00272464
-6.275079,2.000259,5.035e-05,0.00011086,-0.00027205,0.000137,-0.000599,8.364e-05,0.00100383,-0.00074024,-2.656e-05,0.00221025
-6.275079,2.412318,2.925e-05,7.768e-05,-0.00015807,0.00012517,-0.00041973,0.00012847,0.00058324,-0.00067634,6.217e-05,0.00154875
-6.275079,2.831681,1.517e-05,4.73e-05,-8.199e-05,9.352e-05,-0.00025558,0.00012968,0.00030255,-0.00050533,0.00012112,0.00094304
-6.275079,3.260321,6.96e-06,2.499e-05,-3.763e-05,5.85e-05,-0.00013505,0.00010081,0.00013885,-0.0003161,0.00013023,0.0004983
-6.275079,3.700743,2.79e-06,1.138e-05,-1.509e-05,3.08e-05,-6.148e-05,6.315e-05,5.569e-05,-0.00016642,0.00010195,0.00022684
-6.275079,4.156272,9.6e-07,4.4e-06,-5.2e-06,1.356e-05,-2.379e-05,3.223e-05,1.919e-05,-7.329e-05,6.199e-05,8.779e-05
-6.275079,4.63156,2.8e-07,1.42e-06,-1.5e-06,4.92e-06,-7.66e-06,1.331e-05,5.55e-06,-2.656e-05,2.967e-05,2.827e-05
-6.275079,5.133596,6e-08,3.7e-07,-3.5e-07,1.42e-06,-1.98e-06,4.34e-06,1.3e-06,-7.68e-06,1.103e-05,7.32e-06
-6.275079,5.673962,1e-08,7e-08,-6e-08,3.1e-07,-3.9e-07,1.06e-06,2.3e-07,-1.68e-06,3.05e-06,1.44e-06
-6.275079,6.275079,0.0,1e-08,-1e-08,5e-08,-5e-08,1.8e-07,3e-08,-2.5e-07,5.7e-07,1.9e-07
-6.275079,6.99568,0.0,0.0,-0.0,0.0,-0.0,2e-08,0.0,-2e-08,6e-08,1e-08
-5.673962,-6.99568,0.0,-0.0,-0.0,3e-08,2e-08,-1.1e-07,1e-08,-1.2e-07,4.1e-07,-7e-08
-5.673962,-6.275079,1e-08,-7e-08,-5e-08,3.3e-07,3.2e-07,-1.27e-06,1.4e-07,-1.52e-06,4.09e-06,-9.8e-07
-5.673962,-5.673962,8e-08,-5.2e-07,-3.8e-07,2.23e-06,2.37e-06,-7.61e-06,1.18e-06,-1.022e-05,2.183e-05,-7.34e-06
-5.673962,-5.133596,4.7e-07,-2.63e-06,-2.14e-06,1.018e-05,1.207e-05,-3.107e-05,6.6e-06,-4.672e-05,7.896e-05,-3.731e-05
-5.673962,-4.63156,1.99e-06,-1.015e-05,-9.14e-06,3.52e-05,4.66e-05,-9.532e-05,2.825e-05,-0.00016153,0.00021249,-0.00014403
-5.673962,-4.156272,6.89e-06,-3.153e-05,-3.163e-05,9.713e-05,0.0001447,-0.00023083,9.775e-05,-0.00044575,0.00044391,-0.00044723
-5.673962,-3.700743,2e-05,-8.147e-05,-9.178e-05,0.00022055,0.00037388,-0.00045218,0.00028368,-0.00101208,0.00073003,-0.00115561
-5.673962,-3.260321,4.987e-05,-0.00017897,-0.00022884,0.00041891,0.00082129,-0.00072187,0.00070732,-0.00192239,0.00093256,-0.00253847
-5.673962,-2.831681,0.00010866,-0.00033871,-0.00049865,0.0006697,0.00155432,-0.00092864,0.00154124,-0.00307322,0.00086733,-0.0048041
-5.673962,-2.412318,0.00020948,-0.00055625,-0.0009613,0.00089633,0.00255264,-0.00091998,0.0029712,-0.00411324,0.00044522,-0.00788974
-5.673962,-2.000259,0.00036054,-0.00079384,-0.0016545,0.00098101,0.00364292,-0.00059892,0.00511376,-0.00450185,-0.00019022,-0.01125959
-5.673962,-1.593886,0.00055776,-0.00097859,-0.00255954,0.00081966,0.00449072,-3.127e-05,0.00791107,-0.00376141,-0.00068241,-0.01388
-5.673962,-1.191827,0.00077947,-0.00102261,-0.003577,0.00039748,0.00469276,0.00053389,0.01105584,-0.00182403,-0.00069444,-0.01450446
-5.673962,-0.792877,0.0009876,-0.00086196,-0.0045321,-0.00016639,0.00395551,0.00078763,0.01400789,0.00076356,-0.00019961,-0.01222574
-5.673962,-0.395943,0.00113722,-0.00049565,-0.00521869,-0.00065138,0.00227453,0.00056861,0.01613002,0.00298919,0.0004402,-0.00703014
