temperature,internal energy,partition function,free energy,chemical entropy
10000.0,1.3217880628605572,37.053864084948465,-3.112901889900171,0.00044346899527607274
9091.735612328393,1.1448195484630654,32.128317403564715,-2.7184186722803996,0.00042491757189957373
8292.25726960621,0.9901242237894764,28.18178017922532,-2.3857222979840254,0.00040710827124805504
7373.368323891547,0.8130011970575858,24.09616853291344,-2.021837305670873,0.00038446994347791864
6415.165169379761,0.6284126730084687,20.36128377422498,-1.6659862684178444,0.000357652356696553
5424.132327041304,0.4369737783846408,17.1043368843883,-1.327147977728308,0.00032523575195947006
4373.935996111087,0.2332558819034899,14.453659435049126,-1.0067246101836758,0.000283493058240826
3501.676535224889,0.06422256623991665,13.156170916867989,-0.7775797642710948,0.0002403997976520547
2780.7046372812697,-0.07307608832304162,13.270815116970937,-0.6195603148843143,0.0001965272468116489
2243.136582983542,-0.1710381861052203,15.054462741047349,-0.5241627571716334,0.000157424462578525
1907.5272973181648,-0.2283105328243298,18.08615982760249,-0.4758984271638392,0.00012979520381574552
1661.1683336058602,-0.2672933000627495,22.641125571977682,-0.4465898283201951,0.00010793399117370047
1456.5352996395172,-0.2969998783991855,29.890764580736683,-0.4264417365039032,8.886970205030644e-05
1290.9304734512625,-0.318825026774776,40.97220158179093,-0.4130363479108965,7.297939205374049e-05
1158.2652091390748,-0.3346096223772595,57.38155025963173,-0.4042092060675915,6.008950553048602e-05
1049.2534581933685,-0.34628124519873893,81.8104881621496,-0.39823606657317406,4.9515987742268e-05
957.58626723615,-0.3550801982908198,118.61813732799436,-0.3941004020377773,4.0748499724813535e-05
879.5858521575036,-0.36176302959612106,174.38407892875827,-0.39120723646474787,3.34750801145837e-05
812.4723974052029,-0.36687101796059124,259.41430483185326,-0.38916463292553194,2.7439227518547004e-05
754.0122638500458,-0.3708027733591012,390.32237276308007,-0.3877085431446499,2.2421080658856277e-05
702.495941103842,-0.3738463680571477,594.2304519763301,-0.38666226739836873,1.8243378489964235e-05
656.6284987145341,-0.37621124976370024,916.0547455820666,-0.3859062738802213,1.4764854305746375e-05
615.414174499604,-0.3780524179044807,1431.5071155745943,-0.3853582413003035,1.1871392792932022e-05
578.0880008962592,-0.37948598156229507,2270.3448899182495,-0.3849606765615263,9.470348789013726e-06
544.0791506067496,-0.38059963991081086,3657.686962216761,-0.3846729583778813,7.486628485079646e-06
512.9863595508956,-0.3814603601671512,5986.101204478121,-0.3844660035691595,5.8591097912226545e-06
484.5529670091988,-0.38212021398546614,9936.941072834492,-0.38431863287320006,4.537004285214059e-06
458.6245946551579,-0.3826208868375449,16676.304263466434,-0.3842150869384802,3.476045810700563e-06
435.08121189293627,-0.3829968796118954,28166.8502796572,-0.3841433995898351,2.6351861367479016e-06
413.77495103932574,-0.3832770713340029,47672.71226238971,-0.384094460324281,1.9754433858912497e-06
394.5140008367786,-0.38348504599730143,80584.39291962623,-0.384061483501962,1.461133200438847e-06
377.07947519568756,-0.38363933020775887,135769.39842407027,-0.3840395693429486,1.0614185112621438e-06
361.2448757751838,-0.3837540281568972,227819.37212932383,-0.38402526805309156,7.508477334448832e-07
346.79364960300836,-0.38383963143530103,380815.6257694623,-0.384016194251746,5.091293241588435e-07
333.53398206385214,-0.38390381335583745,634590.693557301,-0.3840107158682905,3.2051460481342715e-07
321.3056435856324,-0.38395214052975785,1055065.8547532125,-0.3840077174990823,1.7297227868219382e-07
309.97843455744635,-0.3839886572841099,1751301.4190747628,-0.38400643170744136,5.734083842583373e-08
299.44649163359156,-0.3840163244220016,2903665.97827049,-0.38400632530238865,-3.339200789570134e-08
289.62243664838513,-0.38403732915199373,4810424.003701204,-0.3840070246362247,-1.0463455842618527e-07
280.432895960285,-0.38405329980080666,7964801.855410248,-0.3840082663211875,-1.60585581320415e-07
271.81535597922124,-0.3840654559128375,13182478.271435274,-0.3840098641077643,-2.045204726308618e-07
263.715948057638,-0.38407471506260804,21812510.615933403,-0.3840116861989218,-2.3900285193400023e-07
256.0878355957618,-0.38408177009121636,36086337.959939875,-0.38401363948079675,-2.660439152102033e-07
248.88999769802356,-0.38408714564087404,59695308.50664998,-0.3840156584415279,-2.872240749219131e-07
242.08628445823464,-0.38409123991205507,98746459.72106676,-0.3840176973216423,-3.037866873678422e-07
235.64466644637812,-0.3840943557174511,163344430.93007925,-0.38401972451956934,-3.1671074506895667e-07
229.53662843951417,-0.3840967236999363,270209905.4835338,-0.3840217185854904,-3.267675183513418e-07
223.73667348622473,-0.38409851976698905,447014085.7227128,-0.3840236653419929,-3.345648428118387e-07
218.22191322291184,-0.3840998782291455,739554323.5857446,-0.38402555580878156,-3.405818383051485e-07
212.97172664000496,-0.38410090173085665,1223633970.8546448,-0.38402738470393727,-3.451961820436732e-07
207.9674738042113,-0.3841016687759473,2024731573.38841,-0.3840291493602603,-3.4870556611802707e-07
203.19225407248865,-0.38410223944259675,3350568382.498428,-0.3840308489414687,-3.5134459949720313e-07
198.63070066742716,-0.38410265973129687,5545034901.873533,-0.3840324838755778,-3.532981330844429e-07
194.26880507772145,-0.3841029648778771,9177488291.605171,-0.38403405544594754,-3.547117711563874e-07
190.09376616458,-0.3841031818811817,15190626185.983488,-0.38403556549693946,-3.557001663258151e-07
186.09385982061062,-0.3841033314336532,25145369509.54995,-0.3840370162229734,-3.56353566655646e-07
182.25832583655335,-0.38410342939719533,41626406838.319214,-0.38403841001828776,-3.5674298339533704e-07
178.57726926238314,-0.38410348793226246,68913824316.81227,-0.3840397493708644,-3.569242695968412e-07
175.04157397511725,-0.3841035163621947,114095432570.48141,-0.3840410367884773,-3.569413385547639e-07
171.6428268252319,-0.3841035218352055,188908995747.49777,-0.38404227474796837,-3.568287027777206e-07
168.37325061912847,-0.3841035098316172,312793380157.0621,-0.384043465661396,-3.566134763114822e-07
165.22564472057152,-0.38410348455264687,517942039328.44543,-0.38404461185432587,-3.563169532221516e-07
162.19333251676105,-0.3841034492184796,857672989507.873,-0.3840457155527022,-3.5595585146150035e-07
159.27011443657514,-0.3841034062968509,1420292026242.48,-0.3840467788759514,-3.5554329259971425e-07
156.4502260823746,-0.3841033576783632,2352054662767.147,-0.3840478038343612,-3.550895731701597e-07
153.72830062657874,-0.3841033048109643,3895198946250.3867,-0.3840487923294858,-3.546027716190721e-07
151.0993351986252,-0.38410324880311086,6450941318689.667,-0.3840497461565034,-3.540892257212237e-07
148.55866070558864,-0.3841031905029124,10683820879882.34,-0.38405066700786483,-3.535539079184035e-07
146.10191428443545,-0.38410313055884615,17694533970126.7,-0.3840515564778916,-3.530007201286161e-07
143.72501505790146,-0.3841030694663424,29306214447512.758,-0.3840524160675639,-3.5243272549360975e-07
141.42414149496466,-0.38410300760351396,48538630435426.66,-0.3840532471898043,-3.518523300451049e-07
139.195710945111,-0.38410294525855937,80393653578241.73,-0.38405405117475194,-3.512614251936784e-07
137.03636207312022,-0.3841028826508034,133156309982324.48,-0.38405482927453477,-3.5066149992349676e-07
134.94293736142336,-0.38410281994680373,220549898182415.38,-0.3840555826685037,-3.5005372806959033e-07
132.91246816523454,-0.38410275727271914,365305790850203.94,-0.38405631246782806,-3.4943903707617297e-07
130.9421612163303,-0.3841026947237994,605076551482645.0,-0.3840570197197999,-3.488181619671777e-07
129.0293865357823,-0.38410263237167,1002230451807404.0,-0.38405770541179735,-3.481916877921676e-07
127.17166304886895,-0.38410257026981864,1660076361352226.0,-0.38405837047632635,-3.475600808594405e-07
125.36664907159118,-0.38410250845788485,2749739712406397.5,-0.3840590157942583,-3.4692371494862053e-07
123.61213920392441,-0.38410244696514717,4554674327844812.0,-0.38405964219562494,-3.462828958215469e-07
121.90604129633671,-0.38410238581256717,7544414178928977.0,-0.3840602504683992,-3.456378676553478e-07
120.246381966062,-0.3841023250151511,1.2496711775834792e+16,-0.3840608413560054,-3.449888343206454e-07
118.63129051561964,-0.38410226458313085,2.0699890062202184e+16,-0.38406141556345047,-3.4433596315804644e-07
117.05899752427736,-0.38410220452327815,3.4287995420010828e+16,-0.3840619737576682,-3.43679396379549e-07
115.52783049044216,-0.38410214483985283,5.679590064105541e+16,-0.38406251656906365,-3.4301925883098053e-07
114.0361926890521,-0.3841020855346775,9.407913518258318e+16,-0.3840630445997509,-3.423556504826592e-07
112.58258428398698,-0.3841020266086612,1.558365519703315e+17,-0.3840635584150249,-3.4168867130734694e-07
111.16554571087137,-0.38410196806012725,2.5813608458036992e+17,-0.3840640585657323,-3.410183807631388e-07
109.78373544651113,-0.3841019098884177,4.2759050092914797e+17,-0.3840645455572595,-3.4034486990471205e-07
108.43582837072606,-0.3841018520901424,7.082912203740707e+17,-0.38406501988982117,-3.3966817863301036e-07
107.1206291125281,-0.384101794664267,1.173258920021555e+18,-0.3840654820133244,-3.3898840254635e-07
105.83696799719259,-0.3841017376080523,1.9434480337268897e+18,-0.38406593236863995,-3.383056042693223e-07
104.58370652313153,-0.3841016809174171,3.2192311684982676e+18,-0.38406637138535565,-3.3761981894975364e-07
103.35975452466825,-0.3841016245878548,5.332559524637157e+18,-0.3840667994748878,-3.3693107270948195e-07
102.16410315140422,-0.3841015686161662,8.833284077683034e+18,-0.384067217017306,-3.362394207020408e-07
100.99578180877486,-0.38410151299870704,1.4632268709227336e+19,-0.3840676243783926,-3.3554490799044474e-07
99.85392827142599,-0.3841014577349261,2.4237713660033155e+19,-0.38406802188171185,-3.3484764989276357e-07
98.73747324649202,-0.3841014028121632,4.015113955665409e+19,-0.38406840993398444,-3.341474831586658e-07
97.64567912096015,-0.38410134823186787,6.651352240946571e+19,-0.3840687888108258,-3.3344456544507356e-07
96.57789633938368,-0.3841012939984611,1.1017801638878444e+20,-0.38406915875356434,-3.327391268063243e-07
95.53321115271984,-0.3841012401013646,1.8250741510576108e+20,-0.3840695201092798,-3.320310466072483e-07
94.51111129811282,-0.3841011865489981,3.022852648426151e+20,-0.3840698730660692,-3.3132065107271265e-07
93.5099988788347,-0.384101133290734,5.00838484339298e+20,-0.38407021824434506,-3.306068523107464e-07
92.53034281456559,-0.384101080383841,8.29606426934054e+20,-0.38407055544321916,-3.29891143740898e-07
91.57104639705054,-0.38410102780141164,1.374155652200655e+21,-0.3840708850849775,-3.291730041332791e-07
90.63122177953962,-0.384100975525325,2.2764093302099615e+21,-0.38407120750935686,-3.284521093687504e-07
89.71069552067213,-0.3841009235757889,3.770647718927017e+21,-0.3840715227725382,-3.277290748896945e-07
88.80846800109914,-0.38410087192543574,6.246456093049272e+21,-0.38407183125968086,-3.2700334110612545e-07
87.92421318694576,-0.38410082058358513,1.0347845332887585e+22,-0.384072133088575,-3.262752542251349e-07
87.0581833726759,-0.3841007695933267,1.7134223060644833e+22,-0.38407242814761466,-3.255460269678151e-07
86.20853772877543,-0.38410071887332903,2.8379951601014043e+22,-0.38407271715754165,-3.2481371944239445e-07
85.37513226292405,-0.3841006684400956,4.701188523897541e+22,-0.38407300016507095,-3.240788540091778e-07
84.55854691330462,-0.3841006183548421,7.783422410667092e+22,-0.3840732769296325,-3.2334312979190815e-07
83.75618666239463,-0.3841005684825306,1.2896676021648305e+23,-0.3840735484726821,-3.226031523786078e-07
82.96764306980918,-0.3841005188186207,2.1386577088814567e+23,-0.38407381494751036,-3.218588611447369e-07
