temperature,internal energy,partition function
2000.0,12.575486112439249,1.9118830365451047e-31
1999.6286032625778,12.575424969969086,1.8863218567511804e-31
1999.2573444350821,12.575363860431047,1.8611025415343177e-31
1998.886223440713,12.575302783800542,1.836220516992286e-31
1998.5152402027268,12.575241740053025,1.8116712704417452e-31
1998.1443946444376,12.575180729163996,1.7874503495985443e-31
1997.7736866892153,12.57511975110898,1.7635533617689981e-31
1997.4031162604874,12.575058805863547,1.7399759730519978e-31
1997.0326832817384,12.574997893403323,1.7167139075518074e-31
1996.6623876765084,12.574937013703945,1.6937629466014093e-31
1996.2922293683955,12.574876166741113,1.6711189279962472e-31
1995.9222082810543,12.574815352490548,1.648777745238238e-31
1995.5523243381945,12.574754570928024,1.6267353467899062e-31
1995.1825774635843,12.574693822029344,1.6049877353385118e-31
1994.8129675810474,12.574633105770351,1.5835309670700327e-31
1994.4434946144643,12.57457242212693,1.5623611509528737e-31
1994.074158487771,12.574511771074993,1.5414744480311686e-31
1993.7049591249609,12.574451152590505,1.5208670707275473e-31
1993.3358964500835,12.574390566649456,1.5005352821552444e-31
1992.966970387244,12.574330013227875,1.48047539543942e-31
1992.5981808606039,12.574269492301834,1.460683773047569e-31
1992.2295277943813,12.57420900384744,1.4411568261289032e-31
1991.8610111128503,12.574148547840823,1.4218910138625785e-31
1991.4926307403402,12.574088124258171,1.4028828428146517e-31
1991.1243866012373,12.574027733075706,1.3841288663036523e-31
1990.7562786199837,12.573967374269662,1.3656256837746516e-31
1990.388306721076,12.573907047816338,1.3473699401817111e-31
1990.0204708290685,12.573846753692038,1.3293583253786086e-31
1989.6527708685705,12.573786491873141,1.3115875735177187e-31
1989.2852067642461,12.57372626233603,1.2940544624569487e-31
1988.9177784408166,12.573666065057129,1.2767558131746155e-31
1988.550485823058,12.573605900012902,1.2596884891921594e-31
1988.1833288358023,12.57354576717986,1.242849396004589e-31
1987.8163074039362,12.57348566653452,1.2262354805185578e-31
1987.449421452403,12.573425598053458,1.2098437304979605e-31
1987.0826709062005,12.573365561713272,1.1936711740169605e-31
1986.716055690382,12.573305557490597,1.1777148789203388e-31
1986.3495757300564,12.573245585362105,1.1619719522910729e-31
1985.9832309503884,12.5731856453045,1.1464395399250445e-31
1985.6170212765958,12.573125737294518,1.1311148258127836e-31
1985.250946633954,12.573065861308931,1.1159950316281525e-31
1984.8850069477921,12.573006017324536,1.1010774162238784e-31
1984.5192021434952,12.572946205318189,1.08635927513384e-31
1984.153532146502,12.572886425266745,1.0718379400820241e-31
1983.787996882307,12.572826677147104,1.0575107784980538e-31
1983.4225962764604,12.572766960936221,1.0433751930392053e-31
1983.0573302545652,12.572707276611048,1.0294286211188304e-31
1982.6921987422809,12.572647624148601,1.0156685344410886e-31
1982.3272016653216,12.572588003525908,1.002092438541914e-31
1981.962338949455,12.57252841472003,9.886978723361277e-32
1981.5976105205045,12.572468857708067,9.754824076706165e-32
1981.2330163043478,12.57240933246716,9.624436488834931e-32
1980.8685562269172,12.572349838974462,9.495792323691622e-32
1980.5042302141987,12.57229037720717,9.368868261492111e-32
1980.1400381922342,12.572230947142506,9.243641294490438e-32
1979.775980087119,12.57217154875773,9.120088722801885e-32
1979.4120558250027,12.572112182030136,8.998188150281953e-32
1979.0482653320892,12.57205284693703,8.877917480460549e-32
1978.6846085346374,12.571993543455774,8.759254912530601e-32
1978.32108535896,12.57193427156374,8.642178937390407e-32
1977.957695731423,12.571875031238347,8.526668333738963e-32
1977.5944395784477,12.571815822457037,8.41270216422359e-32
1977.231316826509,12.57175664519728,8.300259771639154e-32
1976.8683274021353,12.57169749943658,8.18932077517816e-32
1976.5054712319095,12.571638385152465,8.079865066731083e-32
1976.142748242469,12.57157930232251,7.971872807236229e-32
1975.780158360503,12.571520250924301,7.865324423078471e-32
1975.4177015127568,12.571461230935462,7.760200602536217e-32
1975.055377626028,12.571402242333646,7.656482292275946e-32
1974.693186627169,12.571343285096537,7.554150693893688e-32
1974.3311284430843,12.57128435920185,7.453187260502818e-32
1973.9692030007332,12.571225464627316,7.353573693367535e-32
1973.6074102271286,12.571166601350717,7.25529193858141e-32
1973.245750049336,12.571107769349847,7.15832418379044e-32
1972.8842223944753,12.571048968602534,7.062652854959941e-32
1972.5228271897195,12.570990199086639,6.968260613184758e-32
1972.1615643622943,12.57093146078004,6.875130351542177e-32
1971.8004338394794,12.570872753660666,6.783245191986983e-32
1971.4394355486077,12.570814077706448,6.692588482288077e-32
1971.0785694170659,12.570755432895362,6.603143793006129e-32
1970.7178353722918,12.57069681920541,6.514894914511685e-32
1970.3572333417785,12.570638236614615,6.427825854043207e-32
1969.9967632530715,12.570579685101041,6.341920832804502e-32
1969.6364250337685,12.570521164642768,6.257164283101014e-32
1969.2762186115215,12.570462675217902,6.173540845514465e-32
1968.9161439140344,12.570404216804594,6.091035366115312e-32
1968.556200869064,12.570345789381001,6.009632893712542e-32
1968.1963894044204,12.570287392925328,5.929318677140279e-32
1967.8367094479665,12.570229027415788,5.850078162580724e-32
1967.477160927618,12.570170692830636,5.771896990922937e-32
1967.1177437713418,12.57011238914815,5.694760995156987e-32
1966.7584579071597,12.570054116346627,5.618656197802986e-32
1966.3993032631447,12.569995874404407,5.543568808374536e-32
1966.0402797674224,12.56993766329984,5.469485220876163e-32
1965.681387348171,12.56987948301132,5.396392011334226e-32
1965.3226259336218,12.569821333517245,5.324275935360907e-32
1964.9639954520571,12.56976321479606,5.253123925750795e-32
1964.605495831813,12.569705126826234,5.182923090109672e-32
1964.2471270012768,12.569647069586253,5.11366070851502e-32
