temperature,internal energy,partition function,free energy,chemical entropy
10000.0,-0.5926512369100466,243.6691880835025,-4.735923939199141,0.0004143272702289095
9382.472516432073,-0.7277668268739624,256.30628840381047,-4.484347670476844,0.00040038282414616854
8881.728223073716,-0.8346311128241355,270.6773637731726,-4.286771407356756,0.00038867889309699365
8239.016139513238,-0.9690123132117119,296.7943906185879,-4.041964064317985,0.0003729755712419108
7519.899580477375,-1.1161091874841036,341.6553967574599,-3.7803904809916005,0.0003542974563682091
6714.968479743794,-1.276669865759494,426.55578749338105,-3.5041631211429993,0.00033172058247226414
5840.55359236641,-1.445571801582723,607.3203581894863,-3.225677888917928,0.0003047837947522302
5095.035999288422,-1.5842696209961566,944.3812970276332,-3.007767887877069,0.000279389246136773
4532.763263234984,-1.6852380408089234,1499.7158002887743,-2.856494122637722,0.00025839780588781194
4079.927407779872,-1.7641403731383645,2449.290756503358,-2.7435807830371495,0.0002400631952497792
3698.263259968677,-1.828941924446369,4151.61021750233,-2.655100466700429,0.0002233909497997872
3375.1855223816146,-1.882580484571385,7251.185880358406,-2.585351222562183,0.00020821692121235033
3099.9435224537706,-1.9273894568006156,12973.736520592907,-2.5299267072291096,0.00019437039612629902
2862.989547305266,-1.965287465053369,23715.51906648048,-2.4853619024871914,0.00018165432630493973
2657.1242009736998,-1.9976680816764452,44191.363829532325,-2.449163035220832,0.00016991864865742337
2476.8964072260146,-2.025556462155871,83755.7427067291,-2.419510682691445,0.000159051553139754
2318.016271130874,-2.0497390809907525,161151.42013515427,-2.3950366485167716,0.0001489625296536686
2177.0609340195406,-2.0708316228699983,314264.8723256622,-2.374697371941397,0.00013957613419224183
2051.279665445165,-2.0893225606278616,620288.0909831956,-2.357688910147572,0.00013082874755718406
1938.4409119509667,-2.1056048886796055,1237651.677574302,-2.3433852897728884,0.00012266579787256244
1836.717127191655,-2.1199988099599105,2493738.6796925627,-2.3312942057084354,0.0001150397046014353
1744.5990932264308,-2.132767996945157,5069333.748884636,-2.3210250135149018,0.00010790846865659296
1660.8309765982235,-2.1441315534081813,10388435.139539704,-2.312265218353672,0.00010123466343930343
1584.3603759016337,-2.154273006807482,21445986.455915283,-2.304762971256547,9.49846807191347e-05
1514.2995470394326,-2.1633471768223247,44573419.64174262,-2.2983138987022858,8.912815310803662e-05
1449.8950400461913,-2.171485496028635,93220775.56889956,-2.2927510943211975,8.36375012971277e-05
1390.5037136840756,-2.178800183980495,196092312.28328118,-2.2879374424857266,7.84875706775909e-05
1335.573633454327,-2.1853875578267226,414717059.17474246,-2.283759679781364,7.365533392585162e-05
1284.6287441282166,-2.1913306831659844,881544715.0985903,-2.2801237643567007,6.911964378546865e-05
1237.2564843302844,-2.1967015145509015,1882861525.197165,-2.276951238347503,6.486102502832304e-05
1193.0977122972938,-2.2015626369956034,4039943348.5298014,-2.2741763505985677,6.086149764141913e-05
1151.8384606374668,-2.2059686926187045,8706335023.62645,-2.271743765981333,5.710442532560178e-05
1113.2031485654857,-2.209967556748237,18842419560.49951,-2.269606730575408,5.3574384786841766e-05
1076.948963145411,-2.2136013131852192,40948086003.25818,-2.2677255935334104,5.0257052284178896e-05
1042.8611839491132,-2.2169070673700038,89350322444.20116,-2.2660666098199234,4.7139104615785914e-05
1010.7492735186961,-2.2199176279006365,195753204334.20276,-2.2646009654704153,4.420813226431897e-05
980.4435929057162,-2.222662080507297,430596653837.2755,-2.263303980152531,4.145256283921939e-05
951.7926300938693,-2.225166273692345,951029271317.757,-2.2621544517696583,3.8861593279688926e-05
924.660651463359,-2.2274532314287994,2109135044915.276,-2.2611341154513487,3.642512955347054e-05
898.9257038344516,-2.22954350533535,4697222568950.2295,-2.260227195110063,3.4133732792186265e-05
874.4779095910794,-2.2314554763036103,10506454481922.729,-2.2594200302949696,3.197857108184246e-05
851.2180010487891,-2.2332056142528343,23605581400306.656,-2.258700764346415,2.995137563135209e-05
829.0560648844344,-2.2348087019303398,53283788036362.64,-2.2580590831395373,2.8044401571850877e-05
807.9104763185227,-2.2362780275867404,120861737129956.36,-2.257485995752962,2.625039380954883e-05
787.7069441041002,-2.237625554843441,275550337837510.2,-2.256973648389484,2.4562552978441577e-05
768.3798306846671,-2.2388619359831345,631552594076714.6,-2.2565152160577817,2.2974679149135347e-05
749.8657268631667,-2.239997011273088,1455695481190215.0,-2.256104631271747,2.14806723678921e-05
732.1994790822555,-2.241034325416545,3360462540504455.5,-2.2557384237664704,2.0082093432183013e-05
715.2710577937593,-2.2419857092943456,7790295856795378.0,-2.2554104930819783,1.8768806092953323e-05
698.9891093353576,-2.2428608864838413,1.8180284450947004e+16,-2.2551158746397344,1.7532445058472946e-05
683.568492459708,-2.2436533043341877,4.2119097646654056e+16,-2.254855207334947,1.638738930235228e-05
669.5882692580683,-2.244340765064447,9.330678485736806e+16,-2.254633915424274,1.5372357659777904e-05
654.9757164525528,-2.245027605514803,2.2225415302114365e+17,-2.2544177562799477,1.4336639556658792e-05
641.7860693236269,-2.2456196049339505,5.0340936627541965e+17,-2.2542354176345785,1.342474246863613e-05
628.5171194854915,-2.2461882546719143,1.1864832138282655e+18,-2.254064051231088,1.2530759011975311e-05
617.2348006136216,-2.2466505052346752,2.5323394621014057e+18,-2.2539274079187677,1.1789521065335458e-05
606.3503899345235,-2.2470778955727924,5.405643631952326e+18,-2.2538034238663998,1.1091818204872683e-05
596.3679514843894,-2.24745386012766,1.1104671341001794e+19,-2.2536962549615893,1.0467354622916573e-05
586.7088742859087,-2.2478030828010747,2.281468263688537e+19,-2.253598427754256,9.87771824694951e-06
575.0898687820128,-2.248204230126084,5.602228840002745e+19,-2.2534885120908354,9.188619469063565e-06
563.8560370382477,-2.24857251665286,1.3833409509084647e+20,-2.2533897563370524,8.543385842769296e-06
553.9458511017219,-2.2488815284629524,3.166025836021929e+20,-2.2533084804741055,7.991669226059668e-06
544.2353623316116,-2.249169961027757,7.338459578086358e+20,-2.253234096037847,7.46760554602385e-06
534.7191491311487,-2.249438951584071,1.7230661491328795e+21,-2.253166089704729,6.9702723882512674e-06
525.6324637049227,-2.2496832840440515,4.0071542292875554e+21,-2.253105497865252,6.510659172530647e-06
514.8466471137247,-2.2499575945925954,1.1343702508055885e+22,-2.253038954487137,5.9850052667449355e-06
504.34335377638587,-2.250208562307193,3.261862919440397e+22,-2.2529794722681857,5.494094331262418e-06
495.96093627722564,-2.250397580539913,7.825804748160883e+22,-2.252935677167298,5.117533341308199e-06
487.85260261416914,-2.250571025238385,1.8776857063743407e+23,-2.252896275152069,4.766296010770417e-06
