temperature,"(0, 0)","(0, 1)","(1, 0)","(1, 1)"
2000.0,2.992384453363833,2.185570595592112,2.185570595592112,2.5572662539083257
1677.966101694915,2.8233428339349023,2.1863422474316807,2.1863422474316807,2.435910755064855
1445.2554744525546,2.7035079319786606,2.1865643204841576,2.1865643204841576,2.352349991134327
1269.2307692307693,2.6154551969954114,2.186632448805054,2.186632448805054,2.2926296787292846
1131.4285714285713,2.548925932492061,2.1866545808052824,2.1866545808052824,2.248784293998773
1020.6185567010309,2.497555297787163,2.186662163913065,2.186662163913065,2.21595016176739
929.5774647887323,2.457207938368126,2.1866648980291417,2.1866648980291417,2.190994596968815
853.4482758620691,2.425088263035742,2.186665934140703,2.186665934140703,2.1718123084200167
788.8446215139442,2.3992414988098396,2.186666346597326,2.186666346597326,2.1569396100091267
733.3333333333333,2.3782611543259837,2.1866665190414167,2.186666519041417,2.1453307585453234
685.121107266436,2.3611104368354168,2.186666594756934,2.186666594756934,2.136222009101229
642.8571428571429,2.347009225319227,2.186666629664899,2.186666629664899,2.129045578812055
605.5045871559632,2.3353602010904693,2.1866666465579363,2.1866666465579363,2.1233732661149016
572.2543352601156,2.325699173578263,2.186666655132798,2.186666655132798,2.1188783702876917
542.4657534246576,2.3176608175439735,2.186666659693115,2.186666659693115,2.1153092868532823
515.625,2.3109544981188135,2.1866666622301674,2.1866666622301674,2.1124707765795647
491.31513647642674,2.305346862954334,2.1866666637037335,2.1866666637037335,2.1102104133184922
469.19431279620846,2.3006490756515525,2.18666666459515,2.18666666459515,2.1084086111156144
448.97959183673464,2.2967072972391778,2.186666665155228,2.186666665155228,2.1069711782560088
430.4347826086956,2.2933954829297467,2.186666665519703,2.186666665519703,2.1058236893814257
413.3611691022964,2.2906098573849096,2.186666665764633,2.186666665764633,2.10490718768625
397.5903614457831,2.288264625934919,2.1866666659340472,2.1866666659340472,2.104174874488544
382.97872340425533,2.2862886090411147,2.186666666054332,2.186666666054332,2.103589541083743
369.4029850746268,2.2846225756040712,2.186666666141721,2.1866666661417216,2.103121564694342
356.7567567567567,2.2832171117520095,2.1866666662065137,2.186666666206514,2.1027473370526537
344.9477351916376,2.2820309045562035,2.1866666662554377,2.1866666662554377,2.1024480273592845
333.8954468802698,2.281029350571672,2.186666666292956,2.186666666292956,2.1022086053422138
323.5294117647059,2.280183421048557,2.186666666322143,2.186666666322143,2.102017067720747
313.78763866877966,2.27946873168143,2.186666666345091,2.1866666663450904,2.1018638244349095
304.61538461538464,2.278864776592807,2.186666666363349,2.1866666663633496,2.101741210815594
295.96412556053815,2.2783542950904705,2.18666666637798,2.18666666637798,2.1016430993224913
287.7906976744186,2.277922746414406,2.1866666663898013,2.1866666663898013,2.101564590187035
280.05657708628,2.2775578727868924,2.1866666663994225,2.1866666663994225,2.1015017647066423
272.7272727272727,2.277249335009153,2.1866666664072607,2.1866666664072607,2.1014514883618562
265.7718120805369,2.276988407904804,2.186666666413741,2.186666666413741,2.1014112536051432
259.16230366492147,2.2767677253126943,2.186666666419071,2.186666666419071,2.1013790542694957
252.87356321839076,2.2765810662304804,2.1866666664234917,2.1866666664234917,2.101353285200786
246.88279301745632,2.2764231752273645,2.1866666664271595,2.1866666664271595,2.101332662024108
241.16930572472594,2.276289611461226,2.1866666664302246,2.1866666664302246,2.1013161569901264
235.7142857142857,2.2761766216201695,2.1866666664327723,2.1866666664327723,2.101302947668836
230.50058207217694,2.2760810329084067,2.1866666664348995,2.1866666664348995,2.1012923759121276
225.51252847380408,2.2760001628507607,2.1866666664366834,2.1866666664366834,2.1012839150254154
220.73578595317724,2.2759317432265447,2.1866666664381746,2.1866666664381746,2.1012771435041184
216.15720524017465,2.275873855887107,2.1866666664394425,2.1866666664394425,2.1012717240201257
211.76470588235293,2.275824878576728,2.1866666664405088,2.1866666664405088,2.101267386608046
207.54716981132074,2.275783439181047,2.186666666441403,2.186666666441403,2.1012639152110806
203.49434737923946,2.275748377080156,2.1866666664421532,2.1866666664421532,2.1012611369148644
199.59677419354836,2.275718710494387,2.1866666664427794,2.18666666644278,2.101258913331789
195.84569732937686,2.275693608887491,2.186666666443301,2.186666666443301,2.101257133706337
192.23300970873785,2.275672369639311,2.186666666443756,2.186666666443756,2.1012557093974045
188.75119161105815,2.2756543983245554,2.1866666664441308,2.1866666664441308,2.1012545694624647
185.39325842696627,2.275639192037621,2.1866666664444567,2.1866666664444567,2.101253657123612
182.1527138914443,2.2756263252915776,2.186666666444726,2.186666666444726,2.1012529269394116
179.0235081374322,2.2756154380928253,2.1866666664449554,2.1866666664449554,2.1012523425412515
176.0,2.275606225854578,2.186666666445151,2.186666666445151,2.101251874821861
173.07692307692307,2.2755984308654433,2.186666666445308,2.186666666445308,2.1012515004855237
170.2493551160791,2.2755918350726754,2.186666666445448,2.186666666445448,2.101251200887667
167.51269035532997,2.2755862539772065,2.186666666445554,2.186666666445554,2.101250961106306
164.86261448792672,2.2755815314690677,2.1866666664456647,2.1866666664456647,2.1012507691986797
162.29508196721306,2.275577535458135,2.1866666664457446,2.1866666664457446,2.101250615606518
159.80629539951576,2.275574154177624,2.186666666445816,2.186666666445816,2.1012504926798985
157.39268680445153,2.275571293056601,2.1866666664458747,2.1866666664458747,2.101250394296275
155.05090054815972,2.2755688720739653,2.186666666445924,2.186666666445924,2.1012503155554927
152.77777777777774,2.2755668235197173,2.186666666445963,2.186666666445963,2.1012502525357415
150.5703422053232,2.275565090100669,2.1866666664459946,2.186666666445994,2.1012502020982464
148.42578710644676,2.2755636233377734,2.1866666664460275,2.186666666446028,2.101250161730868
146.34146341463412,2.27556238221005,2.186666666446065,2.1866666664460648,2.1012501294230583
144.3148688046647,2.2755613320071437,2.18666666644608,2.18666666644608,2.1012501035656896
142.34363767074046,2.275560443358434,2.1866666664460994,2.1866666664460994,2.1012500828708847
140.4255319148936,2.275559691411586,2.186666666446116,2.186666666446116,2.1012500663079026
138.5584324702589,2.2755590551374385,2.186666666446121,2.186666666446121,2.1012500530518126
136.7403314917127,2.2755585167418366,2.1866666664461407,2.1866666664461407,2.1012500424423792
134.96932515337423,2.275558061167963,2.186666666446137,2.186666666446137,2.1012500339511777
133.2436069986541,2.275557675675238,2.186666666446162,2.186666666446162,2.101250027155287
131.56146179401995,2.2755573494830075,2.1866666664461567,2.1866666664461567,2.1012500217162304
129.92125984251967,2.2755570734690225,2.1866666664461705,2.1866666664461705,2.1012500173631197
128.32145171743355,2.2755568399143233,2.186666666446176,2.186666666446176,2.1012500138791297
126.76056338028168,2.275556642287385,2.1866666664461776,2.1866666664461776,2.101250011090731
125.23719165085389,2.275556475061402,2.1866666664461762,2.1866666664461762,2.101250008859058
123.75,2.2755563335598086,2.1866666664461856,2.1866666664461856,2.1012500070729474
122.29771463866582,2.2755562138254035,2.1866666664461896,2.1866666664461896,2.101250005643437
120.87912087912089,2.2755561125097348,2.186666666446188,2.186666666446188,2.101250004499346
119.49305974652987,2.275556026779457,2.1866666664461913,2.1866666664461913,2.1012500035836745
118.13842482100239,2.275555954237051,2.186666666446193,2.186666666446193,2.1012500028508274
116.81415929203538,2.275555892853824,2.1866666664461945,2.1866666664461945,2.101250002264293
115.51925320886815,2.2755558409131966,2.186666666446196,2.186666666446196,2.1012500017948628
114.25274091171379,2.275555796962574,2.186666666446195,2.186666666446195,2.101250001419152
113.01369863013696,2.275555759772878,2.1866666664461967,2.1866666664461967,2.101250001118464
111.80124223602485,2.2755557283040613,2.186666666446197,2.186666666446197,2.1012500008778003
110.61452513966479,2.2755557016760894,2.186666666446196,2.186666666446196,2.1012500006851953
109.45273631840796,2.2755556791442872,2.1866666664462007,2.1866666664462007,2.1012500005310444
108.31509846827132,2.2755556600785556,2.1866666664461993,2.1866666664461993,2.1012500004076644
107.20086626962643,2.2755556439456934,2.1866666664461936,2.1866666664461936,2.1012500003089216
106.10932475884243,2.275555630294554,2.1866666664462002,2.1866666664462002,2.101250000229893
105.03978779840848,2.275555618743364,2.1866666664461976,2.186666666446197,2.1012500001666465
103.99159663865544,2.2755556089690923,2.1866666664462007,2.1866666664462007,2.101250000116024
102.96411856474259,2.2755556006983926,2.186666666446197,2.186666666446197,2.101250000075504
101.956745623069,2.2755555936999756,2.1866666664462024,2.1866666664462024,2.1012500000430805
100.9688934217236,2.27555558777812,2.1866666664462,2.1866666664462,2.101250000017129
100.0,2.2755555827672227,2.186666666446203,2.186666666446203,2.1012499999963614
