temperature,internal energy,partition function
2000.0,0.5739131420776132,0.2655679481143023
1996.2068277101218,0.5729888726152492,0.26390093951212484
1992.4280163395435,0.5720563827245736,0.2622470739532511
1988.6634844868734,0.5711159519946344,0.26060625808416144
1984.9131513647644,0.5701678551289603,0.2589783983301843
1981.176936794135,0.5692123620206597,0.25736340093277044
1977.4547611984574,0.5682497378260992,0.25576117198543047
1973.746545598105,0.5672802430372023,0.2541716174683746
1970.0522116047682,0.5663041335524037,0.2525946432818901
1966.371681415929,0.5653216607463007,0.2510301552784928
1962.7048778094024,0.5643330715380318,0.24947805929388728
1959.0517241379314,0.5633386084584217,0.2479382611767703
1955.4121443238491,0.5623385097159241,0.24641066681750964
1951.7860628537967,0.5613330092613958,0.24489518217573192
1948.1734047735024,0.560322336851731,0.24339171330684986
1944.5740956826137,0.559306718112389,0.24190016638756065
1940.9880617295935,0.5582863745988439,0.2404204477403446
1937.4152296066657,0.5572615238569817,0.238952463856994
1933.8555265448215,0.5562323794824773,0.23749612142119997
1930.3088803088804,0.5551991511791732,0.23605132733022574
1926.7752191926004,0.5541620448164876,0.23461798871569306
1923.2544720138487,0.5531212624858776,0.23319601296350778
1919.7465681098206,0.552077002556379,0.23178530773295103
1916.251437332311,0.551029459729247,0.2303857809749603
1912.7690100430416,0.5499788250917228,0.22899734094962498
1909.299217109032,0.5489252861699422,0.22761989624292042
1905.8419898980271,0.5478690269810109,0.22625335578270309
1902.3972602739725,0.5468102280842687,0.22489762885398967
1898.9649605925365,0.5457490666317565,0.22355262511354185
1895.5450236966824,0.5446857164179087,0.22221825460377814
1892.1373829122906,0.5436203479284907,0.22089442776603377
1888.7419720438234,0.5425531283887953,0.219581055453188
1885.3587253700384,0.5414842218111174,0.2182780489416799
1881.9875776397516,0.5404137890415232,0.21698531994293035
1878.6284640676374,0.5393419878059318,0.21570278061418985
1875.2813203300827,0.5382689727555193,0.21443034356882962
1871.9460825610784,0.5371948955114674,0.2131679218860944
1868.6226873481594,0.5361199047090651,0.21191542912033295
1865.3110717283837,0.5350441460411816,0.2106727793097244
1862.0111731843576,0.5339677623011201,0.20943988698451524
1858.7229296403013,0.5328908934248708,0.20821666717478393
1855.4462794581557,0.5318136765327705,0.20700303541774767
1852.1811614337316,0.5307362459705834,0.2057989077646267
1848.9275147928995,0.5296587333500156,0.20460420078708053
1845.6852791878175,0.5285812675886736,0.20341883158323026
1842.4543946932006,0.5275039749494795,0.2022427177832807
1839.2348018026305,0.5264269790795497,0.20107577755475564
1836.0264414248988,0.5253504010485529,0.19991792960735918
1832.8292548803959,0.5242743593865542,0.198769093197476
1829.6431838975298,0.5231989701213544,0.19762918813232228
1826.4681706091878,0.5221243468153366,0.19649813477376016
1823.304157549234,0.5210506006018272,0.1953758540417859
1820.1510876490395,0.5199778402209798,0.19426226741770453
1817.008904234054,0.5189061720551928,0.19315729694700082
1813.8775510204082,0.5178357001640671,0.19206086524191746
1810.756972111554,0.5167665263189115,0.19097289548375135
1807.647111994938,0.5156987500368055,0.1898933114248768
1804.5479155387115,0.514632468614226,0.188822037390507
1801.4593279884696,0.5135677771602433,0.18775899828020148
1798.381294964029,0.5125047686292982,0.18670411956913002
1795.3137624562348,0.5114435338535603,0.18565732730910162
1792.2566768238037,0.5103841615748829,0.18461854812936648
1789.2099847901943,0.50932673847635,0.18358770923720066
1786.1736334405145,0.5082713492134328,0.18256473841828025
1783.1475702184575,0.5072180764447529,0.18154956403685393
1780.1317429232688,0.5061670008624637,0.1805421150357212
1777.126099706745,0.5051182012222527,0.17954232093602374
1774.1305890702627,0.5040717543729711,0.178550111836857
1771.1451598618369,0.5030277352858963,0.1775654184147097
1768.1697612732096,0.501986217083633,0.176588171922737
1765.2043428369673,0.5009472710686557,0.17561830418987479
1762.248854423687,0.49991096675150026,0.17465574761980135
1759.3032462391132,0.49887737187860814,0.17370043518975203
1756.3674688213598,0.49784655245982706,0.17275230044919393
1753.441473038141,0.49681857279557395,0.1718112775183654
1750.5252100840337,0.49579349550366464,0.1708773010866868
1747.6186314777594,0.49477138154581274,0.16995030641104777
1744.721689059501,0.49375229025380507,0.16903022931397602
1741.8343349882414,0.4927362793553535,0.1681170061816933
1738.9565217391303,0.4917234049996309,0.16721057396206324
1736.0882021008767,0.49071372178249417,0.1663108701624358
1733.229329173167,0.4897072827713955,0.16541783284739353
1730.3798563641085,0.4887041395299902,0.16453140063640354
1727.5397373876986,0.48770434214243896,0.16365151270138
1724.7089262613197,0.48670793923741473,0.16277810876416138
1721.8873773032549,0.4857149780118111,0.16191112909390631
1719.075045130233,0.48472550425415983,0.16105051450441246
1716.271884654995,0.4837395623677598,0.16019620635136195
1713.4778510838833,0.48275719539351847,0.1593481465294972
1710.692899914457,0.48177844503251455,0.1585062774697308
1707.9169869331283,0.48080335166827515,0.15767054213619314
1705.1500682128242,0.4798319543887832,0.1568408840232205
1702.392100110667,0.4788642910082055,0.15601724715228787
1699.6430392656807,0.4779003980883545,0.1551995760688889
1696.9028425965212,0.47694031095987943,0.1543878158393663
1694.171467299221,0.4759840637431932,0.1535819120476959
1691.4488708449633,0.4750316893691382,0.1527818107922266
1688.7350109778752,0.4740832195993898,0.15198745868237995
1686.0298457128404,0.47313868504660633,0.15119880283531092
1683.3333333333335,0.4721981151943214,0.15041579087253346
1680.6454323892763,0.47126153841658647,0.1496383709165127
1677.966101694915,0.4703289819973635,0.1488664915872264
1675.2953003267153,0.46940047214967034,0.14810010199869814
1672.6329876212778,0.46847603403448274,0.14733915175550422
