T(K),partition function,internal energy,free energy,chemical entropy,q variance 1,q variance 2,q avg 1,q avg 2,q square avg 1,q square avg 2
2000.0,17.405792431108107,-0.2077322431303597,-0.4923604786562058,0.00014231411776292305,1.2779286185634566,0.8151201912704342,-2.38141129419786,-2.0575956719255553e-16,6.949048370696582,0.8151201912704342
1980.1010101010102,17.61968272013098,-0.21117410449994808,-0.48954576429235125,0.00014058457541931291,1.2595083921937134,0.8095184709034284,-2.3847200700481146,-2.059112822598886e-16,6.946398204683998,0.8095184709034284
1960.20202020202,17.844269789908896,-0.2145996303747072,-0.4867655574375242,0.0001388458558137632,1.2412492434427005,0.8039396155133558,-2.387983403733424,-2.0598853855581177e-16,6.943713979948971,0.8039396155133558
1940.3030303030303,18.08016575518744,-0.2180083871403222,-0.4840200403688603,0.0001370979940112722,1.223156060827959,0.7983843541232347,-2.3912002175488603,-2.059891875713425e-16,6.9409945412336755,0.7983843541232347
1920.4040404040404,18.328028396836128,-0.2213999340433488,-0.48130939461847094,0.0001353410298597575,1.2052337138134384,0.7928534358692677,-2.394369444603031,-2.059110327354628e-16,6.938238751062066,0.7928534358692677
1900.5050505050506,18.588565301639193,-0.22477382319605904,-0.4786338008763195,0.00013357500818679663,1.187487044958993,0.7873476305221337,-2.3974900308231555,-2.0575182930160557e-16,6.935445492855408,0.7873476305221337
1880.6060606060605,18.862538443527,-0.22812959958461784,-0.4759934388891072,0.00013179997900496536,1.1699208617222858,0.7818677290210047,-2.4005609370515835,-2.0550928449393132e-16,6.932613674220263,0.7818677290210047
1860.7070707070707,19.150769260393893,-0.2314668010802162,-0.47338848735497585,0.00013001599772651434,1.1525399279189896,0.7764145440205499,-2.4035811412339396,-2.0518105795647722e-16,6.929742230414437,0.7764145440205499
1840.8080808080808,19.45414428816679,-0.23478495845273528,-0.4708191238138384,0.00012822312538821997,1.1353489548472995,0.7709889104510954,-2.406549640698684,-2.0476476255265334e-16,6.926830127994264,0.7709889104510954
1820.909090909091,19.77362142247165,-0.23808359538639806,-0.4682855245331323,0.00012642142888737276,1.1183525920869144,0.7655916860920559,-2.409465454527182,-2.0425796556711108e-16,6.923876368646795,0.7655916860920559
1801.010101010101,20.110236888291773,-0.2413622284968157,-0.4657878643887475,0.0001246109812299565,1.1015554179832092,0.7602237521588058,-2.4123276260133757,-2.0365819036692324e-16,6.920879993210538,0.7602237521588058
1781.111111111111,20.46511300966954,-0.24462036734869455,-0.4633263167408947,0.00012279186179225211,1.084961929832832,0.7548860139029614,-2.415135225210855,-2.0296291858401143e-16,6.91784008588712,0.7548860139029614
1761.2121212121212,20.839466885040498,-0.24785751447339718,-0.4609010533046164,0.00012096415659721667,1.0685765337869944,0.7495794012261234,-2.4178873515651667,-2.0216959288603716e-16,6.9147557786458105,0.7495794012261234
1741.3131313131312,21.23462008956086,-0.25107316538542124,-0.458512244014642,0.00011912795860718639,1.0524035344950482,0.7443048693069322,-2.420583136628044,-2.0127562040835852e-16,6.9116262558231085,0.7443048693069322
1721.4141414141413,21.652009544187504,-0.2542668085967359,-0.4561600568842401,0.00011728336803463748,1.0364471245115103,0.7390633992412626,-2.4232217468497743,-2.0027837692517931e-16,6.908450758917182,0.7390633992412626
1701.5151515151515,22.093199712789616,-0.25743792562779605,-0.45384465785769257,0.0001154304926729579,1.0207113734966358,0.7338559986952286,-2.4258023864447824,-1.991752118435785e-16,6.9052285915778375,0.7338559986952286
