x,y,density
-4.156272,0.0,0.000558428
-4.156272,0.395943,0.000486374
-4.156272,0.792877,0.000320594
-4.156272,1.191827,0.00015879
-4.156272,1.593886,5.8386e-05
-4.156272,2.000259,1.566e-05
-4.156272,2.412318,2.992e-06
-4.156272,2.831681,3.95e-07
-4.156272,3.260321,3.4e-08
-4.156272,3.700743,2e-09
-4.156272,4.156272,0.0
-4.156272,4.63156,0.0
-4.156272,5.133596,0.0
-4.156272,5.673962,0.0
-4.156272,6.275079,0.0
-4.156272,6.99568,0.0
-3.700743,-6.99568,0.0
-3.700743,-6.275079,0.0
-3.700743,-5.673962,0.0
-3.700743,-5.133596,0.0
-3.700743,-4.63156,0.0
-3.700743,-4.156272,0.0
-3.700743,-3.700743,1.2e-08
-3.700743,-3.260321,2.04e-07
-3.700743,-2.831681,2.175e-06
-3.700743,-2.412318,1.5364e-05
-3.700743,-2.000259,7.5289e-05
-3.700743,-1.593886,0.000264899
-3.700743,-1.191827,0.000686871
-3.700743,-0.792877,0.001338335
-3.700743,-0.395943,0.001986302
-3.700743,0.0,0.002263695
-3.700743,0.395943,0.001986302
-3.700743,0.792877,0.001338335
-3.700743,1.191827,0.000686871
-3.700743,1.593886,0.000264899
-3.700743,2.000259,7.5289e-05
-3.700743,2.412318,1.5364e-05
-3.700743,2.831681,2.175e-06
-3.700743,3.260321,2.04e-07
-3.700743,3.700743,1.2e-08
-3.700743,4.156272,0.0
-3.700743,4.63156,0.0
-3.700743,5.133596,0.0
-3.700743,5.673962,0.0
-3.700743,6.275079,0.0
-3.700743,6.99568,0.0
-3.260321,-6.99568,0.0
-3.260321,-6.275079,0.0
-3.260321,-5.673962,0.0
-3.260321,-5.133596,0.0
-3.260321,-4.63156,0.0
-3.260321,-4.156272,2e-09
-3.260321,-3.700743,4.6e-08
-3.260321,-3.260321,7.7e-07
-3.260321,-2.831681,7.806e-06
-3.260321,-2.412318,5.2062e-05
-3.260321,-2.000259,0.000240594
-3.260321,-1.593886,0.000801371
-3.260321,-1.191827,0.001982509
-3.260321,-0.792877,0.003726071
-3.260321,-0.395943,0.005406164
-3.260321,0.0,0.00611369
-3.260321,0.395943,0.005406164
-3.260321,0.792877,0.003726071
-3.260321,1.191827,0.001982509
-3.260321,1.593886,0.000801371
-3.260321,2.000259,0.000240594
-3.260321,2.412318,5.2062e-05
-3.260321,2.831681,7.806e-06
-3.260321,3.260321,7.7e-07
-3.260321,3.700743,4.6e-08
-3.260321,4.156272,2e-09
-3.260321,4.63156,0.0
-3.260321,5.133596,0.0
-3.260321,5.673962,0.0
-3.260321,6.275079,0.0
-3.260321,6.99568,0.0
-2.831681,-6.99568,0.0
-2.831681,-6.275079,0.0
-2.831681,-5.673962,0.0
-2.831681,-5.133596,0.0
-2.831681,-4.63156,0.0
-2.831681,-4.156272,2e-09
-2.831681,-3.700743,9.9e-08
-2.831681,-3.260321,1.785e-06
-2.831681,-2.831681,1.8239e-05
-2.831681,-2.412318,0.000118413
-2.831681,-2.000259,0.000524683
-2.831681,-1.593886,0.001668158
-2.831681,-1.191827,0.003950321
-2.831681,-0.792877,0.007166098
-2.831681,-0.395943,0.010160635
-2.831681,0.0,0.011399041
-2.831681,0.395943,0.010160635
-2.831681,0.792877,0.007166098
-2.831681,1.191827,0.003950321
-2.831681,1.593886,0.001668158
-2.831681,2.000259,0.000524683
-2.831681,2.412318,0.000118413
-2.831681,2.831681,1.8239e-05
-2.831681,3.260321,1.785e-06
-2.831681,3.700743,9.9e-08
-2.831681,4.156272,2e-09
-2.831681,4.63156,0.0
-2.831681,5.133596,0.0
-2.831681,5.673962,0.0
-2.831681,6.275079,0.0
-2.831681,6.99568,0.0
-2.412318,-6.99568,0.0
-2.412318,-6.275079,0.0
-2.412318,-5.673962,0.0
-2.412318,-5.133596,0.0
-2.412318,-4.63156,0.0
-2.412318,-4.156272,0.0
-2.412318,-3.700743,6.8e-08
-2.412318,-3.260321,2.111e-06
-2.412318,-2.831681,2.5715e-05
-2.412318,-2.412318,0.000175923
-2.412318,-2.000259,0.0007787
-2.412318,-1.593886,0.002414158
-2.412318,-1.191827,0.005528323
-2.412318,-0.792877,0.009717874
-2.412318,-0.395943,0.013478421
-2.412318,0.0,0.015002322
-2.412318,0.395943,0.013478421
-2.412318,0.792877,0.009717874
-2.412318,1.191827,0.005528323
-2.412318,1.593886,0.002414158
-2.412318,2.000259,0.0007787
-2.412318,2.412318,0.000175923
-2.412318,2.831681,2.5715e-05
-2.412318,3.260321,2.111e-06
-2.412318,3.700743,6.8e-08
-2.412318,4.156272,0.0
-2.412318,4.63156,0.0
-2.412318,5.133596,0.0
-2.412318,5.673962,0.0
-2.412318,6.275079,0.0
-2.412318,6.99568,0.0
-2.000259,-6.99568,0.0
-2.000259,-6.275079,0.0
-2.000259,-5.673962,0.0
-2.000259,-5.133596,0.0
-2.000259,-4.63156,6e-09
-2.000259,-4.156272,4.2e-08
-2.000259,-3.700743,5.7e-08
-2.000259,-3.260321,3.2e-07
-2.000259,-2.831681,1.5246e-05
-2.000259,-2.412318,0.000148096
-2.000259,-2.000259,0.000740333
-2.000259,-1.593886,0.002374084
-2.000259,-1.191827,0.005412133
-2.000259,-0.792877,0.009341815
-2.000259,-0.395943,0.012738759
-2.000259,0.0,0.014084351
-2.000259,0.395943,0.012738759
-2.000259,0.792877,0.009341815
-2.000259,1.191827,0.005412133
-2.000259,1.593886,0.002374084
-2.000259,2.000259,0.000740333
-2.000259,2.412318,0.000148096
-2.000259,2.831681,1.5246e-05
-2.000259,3.260321,3.2e-07
-2.000259,3.700743,5.7e-08
-2.000259,4.156272,4.2e-08
-2.000259,4.63156,6e-09
-2.000259,5.133596,0.0
-2.000259,5.673962,0.0
-2.000259,6.275079,0.0
-2.000259,6.99568,0.0
-1.593886,-6.99568,0.0
-1.593886,-6.275079,0.0
-1.593886,-5.673962,0.0
-1.593886,-5.133596,3e-09
-1.593886,-4.63156,5.4e-08
-1.593886,-4.156272,5.43e-07
-1.593886,-3.700743,2.566e-06
-1.593886,-3.260321,4.772e-06
-1.593886,-2.831681,4.81e-07
-1.593886,-2.412318,3.2088e-05
-1.593886,-2.000259,0.000347271
-1.593886,-1.593886,0.001422414
-1.593886,-1.191827,0.00353507
-1.593886,-0.792877,0.006245525
-1.593886,-0.395943,0.008520264
-1.593886,0.0,0.009400723
-1.593886,0.395943,0.008520264
-1.593886,0.792877,0.006245525
-1.593886,1.191827,0.00353507
-1.593886,1.593886,0.001422414
-1.593886,2.000259,0.000347271
-1.593886,2.412318,3.2088e-05
-1.593886,2.831681,4.81e-07
-1.593886,3.260321,4.772e-06
-1.593886,3.700743,2.566e-06
-1.593886,4.156272,5.43e-07
-1.593886,4.63156,5.4e-08
-1.593886,5.133596,3e-09
-1.593886,5.673962,0.0
-1.593886,6.275079,0.0
-1.593886,6.99568,0.0
-1.191827,-6.99568,0.0
-1.191827,-6.275079,0.0
-1.191827,-5.673962,0.0
-1.191827,-5.133596,1.4e-08
-1.191827,-4.63156,3.05e-07
-1.191827,-4.156272,3.227e-06
-1.191827,-3.700743,1.8325e-05
-1.191827,-3.260321,5.7439e-05
-1.191827,-2.831681,9.3179e-05
-1.191827,-2.412318,5.3604e-05
-1.191827,-2.000259,5.851e-06
-1.191827,-1.593886,0.00030793
-1.191827,-1.191827,0.001272376
-1.191827,-0.792877,0.002677056
